Treatment,PlantID,GrowthStage,Weeks_to
MP,MP-Pf-5,V13,12
MP,MP-Pf-5,V14,NA
MP,MP-Pf-5,V15,NA
MP,MP-Pf-6,VE,1
MP,MP-Pf-6,VC,2
MP,MP-Pf-6,V1,3
MP,MP-Pf-6,V2,4
MP,MP-Pf-6,V3,5.25
MP,MP-Pf-6,V4,5.75
MP,MP-Pf-6,V5,6
MP,MP-Pf-6,V6,6.5
MP,MP-Pf-6,V7,7
MP,MP-Pf-6,V8,8
MP,MP-Pf-6,V9,9
MP,MP-Pf-6,V10,9
MP,MP-Pf-6,V11,10
MP,MP-Pf-6,V12,10.5
MP,MP-Pf-6,V13,11
MP,MP-Pf-6,V14,12
MP,MP-Pf-6,V15,NA
MP,MP-Pf-7,VE,1
MP,MP-Pf-7,VC,2
MP,MP-Pf-7,V1,3
MP,MP-Pf-7,V2,4
MP,MP-Pf-7,V3,5.5
MP,MP-Pf-7,V4,6
MP,MP-Pf-7,V5,6.5
MP,MP-Pf-7,V6,7
MP,MP-Pf-7,V7,7.5
MP,MP-Pf-7,V8,8
MP,MP-Pf-7,V9,8.5
MP,MP-Pf-7,V10,9
MP,MP-Pf-7,V11,10
MP,MP-Pf-7,V12,10.5
MP,MP-Pf-7,V13,11
MP,MP-Pf-7,V14,12
MP,MP-Pf-7,V15,13
MP,MP-Pf-8,VE,1
MP,MP-Pf-8,VC,2
MP,MP-Pf-8,V1,3
MP,MP-Pf-8,V2,4
MP,MP-Pf-8,V3,5.5
MP,MP-Pf-8,V4,6
MP,MP-Pf-8,V5,6.5
MP,MP-Pf-8,V6,7
MP,MP-Pf-8,V7,7.5
MP,MP-Pf-8,V8,8
MP,MP-Pf-8,V9,8.5
MP,MP-Pf-8,V10,9
MP,MP-Pf-8,V11,10
MP,MP-Pf-8,V12,11
MP,MP-Pf-8,V13,11.5
MP,MP-Pf-8,V14,12
MP,MP-Pf-8,V15,NA
MP,MP-Ex-1,VE,1
MP,MP-Ex-1,VC,2
MP,MP-Ex-1,V1,3
MP,MP-Ex-1,V2,4
MP,MP-Ex-1,V3,5
MP,MP-Ex-1,V4,5.5
MP,MP-Ex-1,V5,6
MP,MP-Ex-1,V6,6.5
MP,MP-Ex-1,V7,7
MP,MP-Ex-1,V8,8
MP,MP-Ex-1,V9,9
MP,MP-Ex-1,V10,8.5
MP,MP-Ex-1,V11,10
MP,MP-Ex-1,V12,11
MP,MP-Ex-1,V13,13
MP,MP-Ex-1,V14,NA
MP,MP-Ex-1,V15,NA
MP,MP-Ex-2,VE,1
MP,MP-Ex-2,VC,2
MP,MP-Ex-2,V1,3
MP,MP-Ex-2,V2,4
MP,MP-Ex-2,V3,6
MP,MP-Ex-2,V4,6.5
MP,MP-Ex-2,V5,7
MP,MP-Ex-2,V6,7.5
MP,MP-Ex-2,V7,8
MP,MP-Ex-2,V8,8.5
MP,MP-Ex-2,V9,9
MP,MP-Ex-2,V10,10
MP,MP-Ex-2,V11,10.5
MP,MP-Ex-2,V12,11
MP,MP-Ex-2,V13,12
MP,MP-Ex-2,V14,NA
MP,MP-Ex-2,V15,NA
MP,MP-Ex-3,VE,1
MP,MP-Ex-3,VC,2
MP,MP-Ex-3,V1,3
MP,MP-Ex-3,V2,4
MP,MP-Ex-3,V3,5
MP,MP-Ex-3,V4,5.5
MP,MP-Ex-3,V5,6
MP,MP-Ex-3,V6,6.5
MP,MP-Ex-3,V7,7
MP,MP-Ex-3,V8,8
MP,MP-Ex-3,V9,9
MP,MP-Ex-3,V10,8.5
MP,MP-Ex-3,V11,9
MP,MP-Ex-3,V12,10
MP,MP-Ex-3,V13,11
MP,MP-Ex-3,V14,NA
MP,MP-Ex-3,V15,NA
MP,MP-Ex-4,VE,1
MP,MP-Ex-4,VC,2
MP,MP-Ex-4,V1,3
MP,MP-Ex-4,V2,5
MP,MP-Ex-4,V3,6
MP,MP-Ex-4,V4,6.5
MP,MP-Ex-4,V5,7
MP,MP-Ex-4,V6,7.5
MP,MP-Ex-4,V7,8
MP,MP-Ex-4,V8,9
MP,MP-Ex-4,V9,9.5
MP,MP-Ex-4,V10,10
MP,MP-Ex-4,V11,11
MP,MP-Ex-4,V12,NA
MP,MP-Ex-4,V13,NA
MP,MP-Ex-4,V14,NA
MP,MP-Ex-4,V15,NA
MP,MP-Ex-5,VE,1
MP,MP-Ex-5,VC,2
MP,MP-Ex-5,V1,3
MP,MP-Ex-5,V2,4
MP,MP-Ex-5,V3,5
MP,MP-Ex-5,V4,6
MP,MP-Ex-5,V5,6.5
MP,MP-Ex-5,V6,7
MP,MP-Ex-5,V7,7.5
MP,MP-Ex-5,V8,8
MP,MP-Ex-5,V9,8.5
MP,MP-Ex-5,V10,9
MP,MP-Ex-5,V11,10
MP,MP-Ex-5,V12,11
MP,MP-Ex-5,V13,NA
MP,MP-Ex-5,V14,NA
MP,MP-Ex-5,V15,NA
