Treatment,PlantID,GrowthStage,Weeks_to
C,C-Pf-4,12,10
C,C-Pf-4,13,10.5
C,C-Pf-4,14,11
C,C-Pf-4,15,NA
C,C-Pf-5,-1,1
C,C-Pf-5,0,2
C,C-Pf-5,1,3
C,C-Pf-5,2,4
C,C-Pf-5,3,5.5
C,C-Pf-5,4,6
C,C-Pf-5,5,6.5
C,C-Pf-5,6,7
C,C-Pf-5,7,7.5
C,C-Pf-5,8,8
C,C-Pf-5,9,8.5
C,C-Pf-5,10,8
C,C-Pf-5,11,10
C,C-Pf-5,12,10.5
C,C-Pf-5,13,11
C,C-Pf-5,14,11.5
C,C-Pf-5,15,12
C,C-Pf-6,-1,1
C,C-Pf-6,0,2
C,C-Pf-6,1,3
C,C-Pf-6,2,4
C,C-Pf-6,3,5
C,C-Pf-6,4,5.25
C,C-Pf-6,5,5.75
C,C-Pf-6,6,6
C,C-Pf-6,7,6.5
C,C-Pf-6,8,7
C,C-Pf-6,9,7.5
C,C-Pf-6,10,8
C,C-Pf-6,11,9
C,C-Pf-6,12,9.5
C,C-Pf-6,13,10
C,C-Pf-6,14,11
C,C-Pf-6,15,NA
C,C-Pf-7,-1,1
C,C-Pf-7,0,2
C,C-Pf-7,1,3
C,C-Pf-7,2,4
C,C-Pf-7,3,4.5
C,C-Pf-7,4,5
C,C-Pf-7,5,5.5
C,C-Pf-7,6,6
C,C-Pf-7,7,6.5
C,C-Pf-7,8,7
C,C-Pf-7,9,7.5
C,C-Pf-7,10,8
C,C-Pf-7,11,9
C,C-Pf-7,12,10
C,C-Pf-7,13,NA
C,C-Pf-7,14,NA
C,C-Pf-7,15,NA
C,C-Pf-8,-1,1
C,C-Pf-8,0,2
C,C-Pf-8,1,3
C,C-Pf-8,2,4
C,C-Pf-8,3,5
C,C-Pf-8,4,6
C,C-Pf-8,5,6.25
C,C-Pf-8,6,6.75
C,C-Pf-8,7,7
C,C-Pf-8,8,8
C,C-Pf-8,9,8.5
C,C-Pf-8,10,8
C,C-Pf-8,11,10
C,C-Pf-8,12,10.5
C,C-Pf-8,13,11
C,C-Pf-8,14,11.5
C,C-Pf-8,15,12
C,C-Ex-1,-1,1
C,C-Ex-1,0,2
C,C-Ex-1,1,3
C,C-Ex-1,2,4
C,C-Ex-1,3,5
C,C-Ex-1,4,5.5
C,C-Ex-1,5,6
C,C-Ex-1,6,6.5
C,C-Ex-1,7,7
C,C-Ex-1,8,7.5
C,C-Ex-1,9,8
C,C-Ex-1,10,8.5
C,C-Ex-1,11,9
C,C-Ex-1,12,10
C,C-Ex-1,13,11
C,C-Ex-1,14,12
C,C-Ex-1,15,NA
C,C-Ex-2,-1,1
C,C-Ex-2,0,2
C,C-Ex-2,1,3
C,C-Ex-2,2,4
C,C-Ex-2,3,4.5
C,C-Ex-2,4,5
C,C-Ex-2,5,5
C,C-Ex-2,6,6
C,C-Ex-2,7,6.25
C,C-Ex-2,8,6.75
C,C-Ex-2,9,7
C,C-Ex-2,10,8
C,C-Ex-2,11,8.5
C,C-Ex-2,12,9
C,C-Ex-2,13,10
C,C-Ex-2,14,11
C,C-Ex-2,15,12
C,C-Ex-3,-1,1
C,C-Ex-3,0,2
C,C-Ex-3,1,3
C,C-Ex-3,2,4
C,C-Ex-3,3,4.5
C,C-Ex-3,4,5
C,C-Ex-3,5,5.5
C,C-Ex-3,6,6
C,C-Ex-3,7,6.5
C,C-Ex-3,8,7
C,C-Ex-3,9,7.5
C,C-Ex-3,10,8
C,C-Ex-3,11,8.5
C,C-Ex-3,12,9
C,C-Ex-3,13,10
C,C-Ex-3,14,11
C,C-Ex-3,15,NA
C,C-Ex-4,-1,1
C,C-Ex-4,0,2
C,C-Ex-4,1,3
C,C-Ex-4,2,4
C,C-Ex-4,3,5.5
C,C-Ex-4,4,6
C,C-Ex-4,5,6.25
C,C-Ex-4,6,6.75
C,C-Ex-4,7,7
C,C-Ex-4,8,8
C,C-Ex-4,9,8.5
C,C-Ex-4,10,8
C,C-Ex-4,11,9.5
C,C-Ex-4,12,10
C,C-Ex-4,13,11
C,C-Ex-4,14,12
C,C-Ex-4,15,NA
C,C-Ex-5,-1,1
C,C-Ex-5,0,2
C,C-Ex-5,1,3
C,C-Ex-5,2,3.5
C,C-Ex-5,3,4
C,C-Ex-5,4,5
C,C-Ex-5,5,5.25
C,C-Ex-5,6,5.75
C,C-Ex-5,7,6
C,C-Ex-5,8,6.5
C,C-Ex-5,9,7
C,C-Ex-5,10,7.5
C,C-Ex-5,11,8
C,C-Ex-5,12,10
C,C-Ex-5,13,11
C,C-Ex-5,14,NA
C,C-Ex-5,15,NA
MP,MP-Sb-1,-1,1
MP,MP-Sb-1,0,2
MP,MP-Sb-1,1,3
MP,MP-Sb-1,2,4
MP,MP-Sb-1,3,5
MP,MP-Sb-1,4,6
MP,MP-Sb-1,5,6.25
MP,MP-Sb-1,6,6.75
MP,MP-Sb-1,7,7
MP,MP-Sb-1,8,7.5
MP,MP-Sb-1,9,8
MP,MP-Sb-1,10,8.5
MP,MP-Sb-1,11,9
MP,MP-Sb-1,12,10
MP,MP-Sb-1,13,11
MP,MP-Sb-1,14,NA
MP,MP-Sb-1,15,NA
MP,MP-Sb-2,-1,1
MP,MP-Sb-2,0,2
MP,MP-Sb-2,1,3
MP,MP-Sb-2,2,4
MP,MP-Sb-2,3,5
MP,MP-Sb-2,4,6.5
MP,MP-Sb-2,5,7
MP,MP-Sb-2,6,8
MP,MP-Sb-2,7,8.5
MP,MP-Sb-2,8,9
MP,MP-Sb-2,9,10
MP,MP-Sb-2,10,10.5
MP,MP-Sb-2,11,11
MP,MP-Sb-2,12,10.5
MP,MP-Sb-2,13,12
MP,MP-Sb-2,14,13
MP,MP-Sb-2,15,NA
MP,MP-Sb-3,-1,1
MP,MP-Sb-3,0,2
MP,MP-Sb-3,1,3
MP,MP-Sb-3,2,4
MP,MP-Sb-3,3,5.5
MP,MP-Sb-3,4,6
MP,MP-Sb-3,5,6.25
MP,MP-Sb-3,6,6.75
MP,MP-Sb-3,7,7
MP,MP-Sb-3,8,7.5
MP,MP-Sb-3,9,8
MP,MP-Sb-3,10,9
MP,MP-Sb-3,11,9.5
MP,MP-Sb-3,12,10
MP,MP-Sb-3,13,10.5
MP,MP-Sb-3,14,11
MP,MP-Sb-3,15,NA
MP,MP-Sb-4,-1,1
MP,MP-Sb-4,0,2
MP,MP-Sb-4,1,3
MP,MP-Sb-4,2,4
MP,MP-Sb-4,3,5
MP,MP-Sb-4,4,6
MP,MP-Sb-4,5,6.5
MP,MP-Sb-4,6,7
MP,MP-Sb-4,7,7.5
MP,MP-Sb-4,8,8
MP,MP-Sb-4,9,8.5
MP,MP-Sb-4,10,9
MP,MP-Sb-4,11,9.5
MP,MP-Sb-4,12,10
MP,MP-Sb-4,13,NA
MP,MP-Sb-4,14,NA
MP,MP-Sb-4,15,NA
MP,MP-Sb-5,-1,1
MP,MP-Sb-5,0,2
MP,MP-Sb-5,1,3
MP,MP-Sb-5,2,4
MP,MP-Sb-5,3,5
MP,MP-Sb-5,4,5.5
MP,MP-Sb-5,5,6
MP,MP-Sb-5,6,6.5
MP,MP-Sb-5,7,7
MP,MP-Sb-5,8,7.5
MP,MP-Sb-5,9,8
MP,MP-Sb-5,10,8.5
MP,MP-Sb-5,11,9
MP,MP-Sb-5,12,10.5
MP,MP-Sb-5,13,11
MP,MP-Sb-5,14,NA
MP,MP-Sb-5,15,NA
MP,MP-Sb-6,-1,1
MP,MP-Sb-6,0,2
MP,MP-Sb-6,1,3
MP,MP-Sb-6,2,4
MP,MP-Sb-6,3,5
MP,MP-Sb-6,4,5.5
MP,MP-Sb-6,5,6
MP,MP-Sb-6,6,6.5
MP,MP-Sb-6,7,7
MP,MP-Sb-6,8,7.5
MP,MP-Sb-6,9,8
MP,MP-Sb-6,10,8.5
MP,MP-Sb-6,11,9
MP,MP-Sb-6,12,10
